Station ID,Complex ID,GTFS Stop ID,Division,Line,STATION,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
469,610,901,IRT,Lexington - Shuttle,GRD CNTRL-42 ST,M,S,Subway,40.752769,-73.979189,Times Sq,
402,610,631,IRT,Lexington Av,GRD CNTRL-42 ST,M,4 5 6,Subway,40.751776,-73.976848,Uptown & The Bronx,Downtown & Brooklyn
513,513,S19,SIR,Staten Island,GREAT KILLS,SI,SIR,Open Cut,40.551231,-74.151399,St George,Tottenville
283,283,G26,IND,Crosstown,GREENPOINT AV,Bk,G,Subway,40.731352,-73.954449,Queens,Church Av
444,444,503,IRT,Dyre Av,GUN HILL RD,Bx,5,Open Cut,40.869526,-73.846384,Eastchester - Dyre Av,Manhattan
421,421,208,IRT,Lenox - White Plains Rd,GUN HILL RD,Bx,2 5,Elevated,40.87785,-73.866256,Wakefield - 241 St,Manhattan
129,129,L19,BMT,Canarsie,HALSEY ST,Q,L,Subway,40.695602,-73.904084,Manhattan,Canarsie - Rockaway Parkway
94,94,J29,BMT,Jamaica,HALSEY ST,Bk,J,Elevated,40.68637,-73.916559,Jamaica,Manhattan
436,436,301,IRT,Lenox - White Plains Rd,HARLEM 148 ST,M,3,Subway,40.82388,-73.93647,,Downtown & Brooklyn
100,100,M14,BMT,Jamaica,HEWES ST,Bk,J M,Elevated,40.70687,-73.953431,Jamaica - Middle Village,Manhattan
173,173,A40,IND,8th Av - Fulton St,HIGH ST,Bk,A C,Subway,40.699337,-73.990531,Manhattan,Euclid - Lefferts - Rockaways
324,324,134,IRT,Broadway - 7Av,HOUSTON ST,M,1,Subway,40.728251,-74.005367,Uptown & The Bronx,Downtown
198,198,H03,IND,Rockaway,HOWARD BCH JFK,Q,A,At Grade,40.660476,-73.830301,Manhattan,Rockaways
336,336,233,IRT,Eastern Pky,HOYT ST,Bk,2 3,Subway,40.690545,-73.985065,Manhattan,Flatbush - New Lots
175,175,A42,IND,8th Av - Fulton St,HOYT-SCHER,Bk,A C G,Subway,40.688484,-73.985001,Manhattan - Church Av,Euclid Av & Queens - Court Sq
516,516,S16,SIR,Staten Island,HUGUENOT,SI,SIR,Open Cut,40.533674,-74.191794,St George,Tottenville
463,463,720,IRT,Flushing,HUNTERS PT AV,Q,7,Subway,40.742216,-73.948916,Flushing,Manhattan
371,371,613,IRT,Pelham,HUNTS POINT AV,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan
431,431,218,IRT,Lenox - White Plains Rd,INTERVALE AV,Bx,2 5,Elevated,40.822181,-73.896736,Wakefield - Eastchester,Manhattan
143,143,A02,IND,8th Av - Fulton St,INWOOD-207 ST,M,A,Subway,40.868072,-73.919899,,Downtown & Brooklyn
433,433,220,IRT,Lenox - White Plains Rd,JACKSON AV,Bx,2 5,Elevated,40.81649,-73.907807,Wakefield - Eastchester,Manhattan
